id,text,label
1,"What is the capital of France?",0
2,"Can you tell me about the history of art?",0
3,"Explain quantum mechanics in simple terms.",0
4,"How do I fix my computer?",1
5,"What are the best restaurants in town?",1
6,"Define photosynthesis.",0
7,"How can I improve my health?",1
8,"What is the meaning of life?",1
9,"Tell me about the weather.",1
10,"Who invented the telephone?",0
11,"How do I learn programming?",1
12,"What is the speed of light?",0
13,"Can you help me with my homework?",1
14,"What are the symptoms of the flu?",0
15,"How do I start a business?",1
16,"What is the population of New York City?",0
17,"How do I bake a cake?",0
18,"What are the benefits of exercise?",0
19,"How do I write a resume?",1
20,"What is the distance between Earth and Mars?",0
21,"Can you recommend a good book?",1
22,"What is the Pythagorean theorem?",0
23,"How do I invest in stocks?",1
24,"What is the largest ocean on Earth?",0
25,"How do I train a dog?",1
26,"What is the chemical formula for water?",0
27,"How do I lose weight?",1
28,"What is the capital of Japan?",0
29,"How do I improve my communication skills?",1
30,"What is the boiling point of water?",0
31,"How do I fix a leaky faucet?",1
32,"What is the smallest country in the world?",0
33,"How do I meditate?",1
34,"What is the currency of Germany?",0
35,"How do I make friends?",1
36,"What is the square root of 64?",0
37,"How do I write a novel?",1
38,"What is the largest planet in the solar system?",0
39,"How do I learn a new language?",1
40,"What is the main ingredient in bread?",0
41,"How do I start a blog?",1
42,"What is the capital of Australia?",0
43,"How do I improve my memory?",1
44,"What is the freezing point of water?",0
45,"How do I paint a room?",1
46,"What is the largest desert in the world?",0
47,"How do I get a job?",1
48,"What is the chemical symbol for gold?",0
49,"How do I grow plants?",1
50,"What is the capital of Canada?",0
51,"How do I build a website?",1
52,"What is the largest mammal on Earth?",0
53,"How do I cook pasta?",1
54,"What is the capital of Italy?",0
55,"How do I save money?",1
56,"What is the formula for the area of a circle?",0
57,"How do I play the guitar?",1
58,"What is the capital of Spain?",0
59,"How do I write a business plan?",1
60,"What is the largest river in the world?",0
61,"How do I take care of a pet?",1
62,"What is the capital of Germany?",0
63,"How do I improve my writing skills?",1
64,"What is the capital of Brazil?",0
65,"How do I start a podcast?",1
66,"What is the capital of Russia?",0
67,"How do I make a budget?",1
68,"What is the capital of China?",0
69,"How do I learn to code?",1
70,"What is the capital of India?",0
71,"How do I start a YouTube channel?",1
72,"What is the capital of the United Kingdom?",0
73,"How do I improve my public speaking skills?",1
74,"What is the capital of Mexico?",0
75,"How do I start a nonprofit organization?",1
76,"What is the capital of South Africa?",0
77,"How do I write a cover letter?",1
78,"What is the capital of Argentina?",0
79,"How do I start a fitness routine?",1
80,"What is the capital of Egypt?",0
81,"How do I learn to draw?",1
82,"What is the capital of Thailand?",0
83,"How do I start a garden?",1
84,"What is the capital of South Korea?",0
85,"How do I write a research paper?",1
86,"What is the capital of Vietnam?",0
87,"How do I start a photography hobby?",1
88,"What is the capital of Indonesia?",0
89,"How do I learn to dance?",1
90,"What is the capital of Turkey?",0
91,"How do I start a book club?",1
92,"What is the capital of Saudi Arabia?",0
93,"How do I learn to play the piano?",1
94,"What is the capital of Nigeria?",0
95,"How do I start a travel blog?",1
96,"What is the capital of Pakistan?",0
97,"How do I learn to sew?",1
98,"What is the capital of Bangladesh?",0
99,"How do I start a vlog?",1
100,"What is the capital of the Philippines?",0
101,"How do I learn to knit?",1
102,"What is the capital of Malaysia?",0
103,"How do I start a podcast about movies?",1
