text,label
How do you typically verify this?,0
What if things change?,0
Explain the cultural impact of Shakespeare in detail.,1
What’s the next step?,0
Explain how the human brain processes language in detail.,1
Explain the fundamental concepts of game theory in detail.,1
What should I watch out for?,0
What’s the expected result?,0
Could this be misinterpreted?,0
Would this be appropriate?,0
Explain the principles of quantum entanglement in detail.,1
What’s the standard response to this?,0
How do you see this playing out?,0
Does this seem correct to you?,0
What do you mean by that?,0
Is there more to consider?,0
Would you say this is typical?,0
Does this make a difference?,0
Would this create any problems?,0
What’s a typical challenge with this?,0
How can I validate this?,0
Is there a rule for this?,0
Explain the importance of cybersecurity in detail.,1
Would this be a mistake?,0
Could this indicate a larger trend?,0
What’s your view on this?,0
How do people usually react to this?,0
How can I tell if this is right?,0
Explain how the periodic table is organized in detail.,1
Explain the Pythagorean theorem in detail.,1
How does this compare to other cases?,0
How do I test this idea?,0
Explain the theory of evolution in detail.,1
Is there an exception to this?,0
Is there a specific method for this?,0
Would this work in any scenario?,0
Would you call this a best practice?,0
Explain how genes determine traits in detail.,1
What’s the best way to handle it?,0
Would this cause confusion?,0
Explain the economic principles of supply and demand in detail.,1
What do you mean exactly?,0
Explain how deep learning models function in detail.,1
Can you shed some light on this?,0
Is there a pattern here?,0
How do people generally feel about it?,0
Is this relevant here?,0
What’s the usual way to go about it?,0
What’s the general sentiment about it?,0
Does this hold up under scrutiny?,0
Explain how solar panels generate electricity in detail.,1
What would you suggest?,0
What’s your best guess?,0
Is this always true?,0
How does one typically respond?,0
What’s the general opinion on this?,0
Would you categorize this differently?,0
Is there a common solution?,0
Explain how a combustion engine functions in detail.,1
Is this something to worry about?,0
Explain how the stock market operates in detail.,1
Tell me what you think about this.,0
Does this stand up to scrutiny?,0
Explain the role of mitochondria in a cell in detail.,1
Could you clarify further?,0
Explain the significance of the Renaissance in detail.,1
Does this make a strong case?,0
Does this suggest something deeper?,0
Is this a well-known issue?,0
Is this a common mistake?,0
Explain how blockchain technology ensures security in detail.,1
Could this lead to unexpected results?,0
How does one know for sure?,0
What should I focus on?,0
Explain the process of volcanic eruptions in detail.,1
Explain the role of the immune system in detail.,1
Is this something I should pursue?,0
Explain the causes and effects of climate change in detail.,1
Would this work in most cases?,0
Explain the difference between classical and operant conditioning in detail.,1
Is this common?,0
Would this be fair?,0
Could this go either way?,0
What’s the underlying assumption?,0
Does this conflict with anything else?,0
Explain Newton's laws of motion in detail.,1
Explain the process of DNA replication in detail.,1
Should I be looking for alternatives?,0
Would this apply universally?,0
Is there a right way to proceed?,0
Explain how antibiotics work in detail.,1
What’s the safest bet?,0
How should I interpret this?,0
Explain how to set up a Linux server in detail.,1
Explain how photosynthesis works in detail.,1
Is this the main issue?,0
How do experts handle this?,0
Would you say this is correct?,0
Would you say this is significant?,0
How do I know I’m on the right track?,0
What’s the key takeaway?,0
Explain the structure of the solar system in detail.,1
How might this change over time?,0
Would this typically be the case?,0
What would be a reasonable assumption?,0
Explain the importance of financial literacy in detail.,1
Does this need further clarification?,0
Is this a reasonable question?,0
Would this apply broadly?,0
Should I be concerned about this?,0
How should I think about this?,0
Is this always the case?,0
Explain how to bake a chocolate cake in detail.,1
Is there a better way?,0
Explain the physics behind rainbows in detail.,1
Explain the effects of caffeine on the human body in detail.,1
Explain how fiber optics transmit data in detail.,1
Can you explain what I mean?,0
Is this an accurate representation?,0
Explain how earthquakes are measured in detail.,1
What’s the usual outcome?,0
Explain quantum mechanics in detail.,1
What’s a common oversight here?,0
Explain how search engines rank web pages in detail.,1
Explain the impact of social media on communication in detail.,1
Explain how vaccines work in detail.,1
Explain the benefits of a ketogenic diet in detail.,1
Explain the concept of entropy in thermodynamics in detail.,1
Explain how electric cars work in detail.,1
Would this require adjustments?,0
How does that impact things?,0
How important is it?,0
Can this be done differently?,0
Is this the right call?,0
How would you rate this?,0
Explain how black holes are formed in detail.,1
What’s a good analogy for this?,0
Explain the history of World War II in detail.,1
What’s the general approach to this?,0
How can I be sure?,0
Explain how an internal combustion engine works in detail.,1
What are the key considerations here?,0
Explain the principles of aerodynamics in detail.,1
What’s your impression of this?,0
Is this universally accepted?,0
Does this require special attention?,0
Explain the impact of the Industrial Revolution in detail.,1
Explain the major causes of inflation in detail.,1
How would one typically approach this?,0
Is this a gray area?,0
How flexible is this rule?,0
Does this align with expectations?,0
Should I explore other options?,0
Explain the role of neurotransmitters in the brain in detail.,1
Explain how the Mars rover collects data in detail.,1
Explain the process of metamorphosis in insects in detail.,1
What do others think about this?,0
Explain how machine learning algorithms make predictions in detail.,1
Is this the best comparison?,0
Explain the main differences between reptiles and amphibians in detail.,1
What’s a critical factor here?,0
Would this be enough?,0
Should I reconsider?,0
